"clustering_method" "replicable_clusters" "non_replicable_clusters" "replicable_cells" "non_replicable_cells" "fraction_replicable_clusters" "fraction_replicable_cells" "clustering_name" "level"
"1" "Garbage1.00" 0 53 0 10705 0 0 "Garbage1" "00"
"2" "Garbage1.05" 0 53 0 10705 0 0 "Garbage1" "05"
"3" "Garbage1.10" 0 53 0 10705 0 0 "Garbage1" "10"
"4" "Garbage1.100" 0 21 0 10705 0 0 "Garbage1" "100"
"5" "Garbage1.15" 0 53 0 10705 0 0 "Garbage1" "15"
"6" "Garbage1.20" 0 53 0 10705 0 0 "Garbage1" "20"
"7" "Garbage1.25" 0 53 0 10705 0 0 "Garbage1" "25"
"8" "Garbage1.30" 0 53 0 10705 0 0 "Garbage1" "30"
"9" "Garbage1.35" 0 53 0 10705 0 0 "Garbage1" "35"
"10" "Garbage1.40" 0 53 0 10705 0 0 "Garbage1" "40"
"11" "Garbage1.45" 0 53 0 10705 0 0 "Garbage1" "45"
"12" "Garbage1.50" 0 53 0 10705 0 0 "Garbage1" "50"
"13" "Garbage1.55" 0 53 0 10705 0 0 "Garbage1" "55"
"14" "Garbage1.60" 0 53 0 10705 0 0 "Garbage1" "60"
"15" "Garbage1.65" 0 53 0 10705 0 0 "Garbage1" "65"
"16" "Garbage1.70" 0 53 0 10705 0 0 "Garbage1" "70"
"17" "Garbage1.75" 0 43 0 10705 0 0 "Garbage1" "75"
"18" "Garbage1.80" 0 39 0 10705 0 0 "Garbage1" "80"
"19" "Garbage1.85" 0 36 0 10705 0 0 "Garbage1" "85"
"20" "Garbage1.90" 0 31 0 10705 0 0 "Garbage1" "90"
"21" "Garbage1.95" 0 26 0 10705 0 0 "Garbage1" "95"
"22" "Garbage2.00" 0 53 0 10705 0 0 "Garbage2" "00"
"23" "Garbage2.05" 0 53 0 10705 0 0 "Garbage2" "05"
"24" "Garbage2.10" 0 53 0 10705 0 0 "Garbage2" "10"
"25" "Garbage2.100" 0 20 0 10705 0 0 "Garbage2" "100"
"26" "Garbage2.15" 0 53 0 10705 0 0 "Garbage2" "15"
"27" "Garbage2.20" 0 53 0 10705 0 0 "Garbage2" "20"
"28" "Garbage2.25" 0 53 0 10705 0 0 "Garbage2" "25"
"29" "Garbage2.30" 0 53 0 10705 0 0 "Garbage2" "30"
"30" "Garbage2.35" 0 53 0 10705 0 0 "Garbage2" "35"
"31" "Garbage2.40" 0 53 0 10705 0 0 "Garbage2" "40"
"32" "Garbage2.45" 0 53 0 10705 0 0 "Garbage2" "45"
"33" "Garbage2.50" 0 53 0 10705 0 0 "Garbage2" "50"
"34" "Garbage2.55" 0 53 0 10705 0 0 "Garbage2" "55"
"35" "Garbage2.60" 0 53 0 10705 0 0 "Garbage2" "60"
"36" "Garbage2.65" 0 49 0 10705 0 0 "Garbage2" "65"
"37" "Garbage2.70" 0 47 0 10705 0 0 "Garbage2" "70"
"38" "Garbage2.75" 0 46 0 10705 0 0 "Garbage2" "75"
"39" "Garbage2.80" 0 43 0 10705 0 0 "Garbage2" "80"
"40" "Garbage2.85" 0 35 0 10705 0 0 "Garbage2" "85"
"41" "Garbage2.90" 0 28 0 10705 0 0 "Garbage2" "90"
"42" "Garbage2.95" 0 24 0 10705 0 0 "Garbage2" "95"
"43" "Garbage3.00" 0 53 0 10705 0 0 "Garbage3" "00"
"44" "Garbage3.05" 0 53 0 10705 0 0 "Garbage3" "05"
"45" "Garbage3.10" 0 53 0 10705 0 0 "Garbage3" "10"
"46" "Garbage3.100" 0 22 0 10705 0 0 "Garbage3" "100"
"47" "Garbage3.15" 0 53 0 10705 0 0 "Garbage3" "15"
"48" "Garbage3.20" 0 53 0 10705 0 0 "Garbage3" "20"
"49" "Garbage3.25" 0 53 0 10705 0 0 "Garbage3" "25"
"50" "Garbage3.30" 0 53 0 10705 0 0 "Garbage3" "30"
"51" "Garbage3.35" 0 53 0 10705 0 0 "Garbage3" "35"
"52" "Garbage3.40" 0 53 0 10705 0 0 "Garbage3" "40"
"53" "Garbage3.45" 0 53 0 10705 0 0 "Garbage3" "45"
"54" "Garbage3.50" 0 53 0 10705 0 0 "Garbage3" "50"
"55" "Garbage3.55" 0 53 0 10705 0 0 "Garbage3" "55"
"56" "Garbage3.60" 0 53 0 10705 0 0 "Garbage3" "60"
"57" "Garbage3.65" 0 53 0 10705 0 0 "Garbage3" "65"
"58" "Garbage3.70" 0 48 0 10705 0 0 "Garbage3" "70"
"59" "Garbage3.75" 0 45 0 10705 0 0 "Garbage3" "75"
"60" "Garbage3.80" 0 38 0 10705 0 0 "Garbage3" "80"
"61" "Garbage3.85" 0 36 0 10705 0 0 "Garbage3" "85"
"62" "Garbage3.90" 0 29 0 10705 0 0 "Garbage3" "90"
"63" "Garbage3.95" 0 27 0 10705 0 0 "Garbage3" "95"
"64" "Monocle.00" 6 28 1776 8929 0.176470588235294 0.165903783278842 "Monocle" "00"
"65" "Monocle.05" 6 26 1776 8929 0.1875 0.165903783278842 "Monocle" "05"
"66" "Monocle.10" 8 23 2703 8002 0.258064516129032 0.252498832321345 "Monocle" "10"
"67" "Monocle.100" 10 18 3670 7035 0.357142857142857 0.342830453059318 "Monocle" "100"
"68" "Monocle.15" 8 23 2703 8002 0.258064516129032 0.252498832321345 "Monocle" "15"
"69" "Monocle.20" 8 23 2703 8002 0.258064516129032 0.252498832321345 "Monocle" "20"
"70" "Monocle.25" 10 20 3074 7631 0.333333333333333 0.287155534796824 "Monocle" "25"
"71" "Monocle.30" 10 20 3074 7631 0.333333333333333 0.287155534796824 "Monocle" "30"
"72" "Monocle.35" 10 20 3074 7631 0.333333333333333 0.287155534796824 "Monocle" "35"
"73" "Monocle.40" 10 20 3074 7631 0.333333333333333 0.287155534796824 "Monocle" "40"
"74" "Monocle.45" 10 19 3670 7035 0.344827586206897 0.342830453059318 "Monocle" "45"
"75" "Monocle.50" 10 19 3670 7035 0.344827586206897 0.342830453059318 "Monocle" "50"
"76" "Monocle.55" 10 19 3670 7035 0.344827586206897 0.342830453059318 "Monocle" "55"
"77" "Monocle.60" 10 19 3670 7035 0.344827586206897 0.342830453059318 "Monocle" "60"
"78" "Monocle.65" 10 19 3670 7035 0.344827586206897 0.342830453059318 "Monocle" "65"
"79" "Monocle.70" 10 19 3670 7035 0.344827586206897 0.342830453059318 "Monocle" "70"
"80" "Monocle.75" 10 19 3670 7035 0.344827586206897 0.342830453059318 "Monocle" "75"
"81" "Monocle.80" 10 19 3670 7035 0.344827586206897 0.342830453059318 "Monocle" "80"
"82" "Monocle.85" 10 19 3670 7035 0.344827586206897 0.342830453059318 "Monocle" "85"
"83" "Monocle.90" 10 19 3670 7035 0.344827586206897 0.342830453059318 "Monocle" "90"
"84" "Monocle.95" 10 18 3670 7035 0.357142857142857 0.342830453059318 "Monocle" "95"
"85" "sc3.00" 6 47 1153 9552 0.113207547169811 0.107706679121906 "sc3" "00"
"86" "sc3.05" 6 46 1153 9552 0.115384615384615 0.107706679121906 "sc3" "05"
"87" "sc3.10" 6 46 1153 9552 0.115384615384615 0.107706679121906 "sc3" "10"
"88" "sc3.100" 10 27 3001 7704 0.27027027027027 0.280336291452592 "sc3" "100"
"89" "sc3.15" 6 45 1323 9382 0.117647058823529 0.123587108827651 "sc3" "15"
"90" "sc3.20" 6 45 1323 9382 0.117647058823529 0.123587108827651 "sc3" "20"
"91" "sc3.25" 6 45 1323 9382 0.117647058823529 0.123587108827651 "sc3" "25"
"92" "sc3.30" 6 45 1323 9382 0.117647058823529 0.123587108827651 "sc3" "30"
"93" "sc3.35" 6 45 1323 9382 0.117647058823529 0.123587108827651 "sc3" "35"
"94" "sc3.40" 6 45 1323 9382 0.117647058823529 0.123587108827651 "sc3" "40"
"95" "sc3.45" 6 44 1360 9345 0.12 0.12704343764596 "sc3" "45"
"96" "sc3.50" 8 41 1727 8978 0.163265306122449 0.161326482951892 "sc3" "50"
"97" "sc3.55" 8 41 1727 8978 0.163265306122449 0.161326482951892 "sc3" "55"
"98" "sc3.60" 8 39 1727 8978 0.170212765957447 0.161326482951892 "sc3" "60"
"99" "sc3.65" 8 37 1727 8978 0.177777777777778 0.161326482951892 "sc3" "65"
"100" "sc3.70" 10 34 2939 7766 0.227272727272727 0.274544605324615 "sc3" "70"
"101" "sc3.75" 10 33 2939 7766 0.232558139534884 0.274544605324615 "sc3" "75"
"102" "sc3.80" 10 33 2939 7766 0.232558139534884 0.274544605324615 "sc3" "80"
"103" "sc3.85" 10 32 2939 7766 0.238095238095238 0.274544605324615 "sc3" "85"
"104" "sc3.90" 10 31 2939 7766 0.24390243902439 0.274544605324615 "sc3" "90"
"105" "sc3.95" 10 29 3000 7705 0.256410256410256 0.280242877160206 "sc3" "95"
"106" "Seurat.00" 4 34 1192 9513 0.105263157894737 0.111349836524988 "Seurat" "00"
"107" "Seurat.05" 4 34 1192 9513 0.105263157894737 0.111349836524988 "Seurat" "05"
"108" "Seurat.10" 4 34 1192 9513 0.105263157894737 0.111349836524988 "Seurat" "10"
"109" "Seurat.100" 8 23 3195 7510 0.258064516129032 0.298458664175619 "Seurat" "100"
"110" "Seurat.15" 4 34 1192 9513 0.105263157894737 0.111349836524988 "Seurat" "15"
"111" "Seurat.20" 4 33 1393 9312 0.108108108108108 0.130126109294722 "Seurat" "20"
"112" "Seurat.25" 4 33 1393 9312 0.108108108108108 0.130126109294722 "Seurat" "25"
"113" "Seurat.30" 4 33 1393 9312 0.108108108108108 0.130126109294722 "Seurat" "30"
"114" "Seurat.35" 4 33 1393 9312 0.108108108108108 0.130126109294722 "Seurat" "35"
"115" "Seurat.40" 4 33 1393 9312 0.108108108108108 0.130126109294722 "Seurat" "40"
"116" "Seurat.45" 4 33 1393 9312 0.108108108108108 0.130126109294722 "Seurat" "45"
"117" "Seurat.50" 4 33 1393 9312 0.108108108108108 0.130126109294722 "Seurat" "50"
"118" "Seurat.55" 8 27 3195 7510 0.228571428571429 0.298458664175619 "Seurat" "55"
"119" "Seurat.60" 8 26 3195 7510 0.235294117647059 0.298458664175619 "Seurat" "60"
"120" "Seurat.65" 8 26 3195 7510 0.235294117647059 0.298458664175619 "Seurat" "65"
"121" "Seurat.70" 8 26 3195 7510 0.235294117647059 0.298458664175619 "Seurat" "70"
"122" "Seurat.75" 8 26 3195 7510 0.235294117647059 0.298458664175619 "Seurat" "75"
"123" "Seurat.80" 8 26 3195 7510 0.235294117647059 0.298458664175619 "Seurat" "80"
"124" "Seurat.85" 8 26 3195 7510 0.235294117647059 0.298458664175619 "Seurat" "85"
"125" "Seurat.90" 8 26 3195 7510 0.235294117647059 0.298458664175619 "Seurat" "90"
"126" "Seurat.95" 8 23 3195 7510 0.258064516129032 0.298458664175619 "Seurat" "95"
